X,Y,OBJECTID,STREETID,NSGID,STREET,UNITID,UNITNO,UNITTYPE,LOCATION,HEIGHT,OWNER
356206.719974594,405008.870006287,34838,1587,44101680,Holly Road,057678,0001,L,O/S 36,6,BE
352992.430021923,408943.329993164,34839,412,44104661,Broadriding Road,057679,0003A,L,R/O 19/21 CLOUGHWOOD CRES,6,BE
353084.230026283,408880.599990185,34840,412,44104661,Broadriding Road,057680,0003,L,O/S 10,6,BE
356319.719979961,410186.529952213,34841,3580,44103766,Market Place,057681,0005,L,O/S LYCHGATE TAVERN P/H,6,BE
358688.329992464,405262.830018349,34842,2927,44103072,Sovereign Road,057682,0001B,L,ON SOVERIGN ROAD CAR PARK,10,BLP
358709.93999349,405275.080018932,34843,2927,44103072,Sovereign Road,057683,0002B,L,SOVERIGN ROAD CAR PARK,10,BLP
358687.229992412,405287.600019526,34844,2927,44103072,Sovereign Road,057684,0003B,L,SOVERIGN ROAD CAR PARK,10,BLP
357741.080047472,400844.160008475,34845,3861,44104018,Antler Court,057685,0001,L,JCN LOCKETT RD,8,BE
360877.999996467,401394.940034635,34846,3410,44103586,Whitley Crescent,057686,0005,L,S/O 6 KINGSDOWN RD,6,BE
368137.320041267,402905.130006365,34847,598,44100638,Chanters Avenue,057687,0003,L,O/S 9/11,6,BE
365172.150000429,401966.639961788,34848,2207,44102329,Moor Lane,057688,0004,L,O/S 12,6,BE
360862.859995749,408452.769969864,34849,2958,44103106,St Elizabeths Road,057689,0005,L,O/S 32,6,BE
360950.029999889,408531.109973585,34850,2971,44103120,St Marys Close,057690,0002,L,O/S 6/8,6,BE
353933.969966644,401385.510034187,34851,3419,44103595,Wigan Road,057691,0021,L,REFER TO OSP,10,BE
356731.399999515,410671.679975256,34852,4541,44120620,Belfry Crescent,057692,0001,L,O/S 2,6,BE
355934.649961672,407724.03003525,34853,3609,44104648,Spelding Drive,057695,0017,L,O/S 77/79,6,BE
354042.229971786,407508.080024993,34854,4769,44101320,Gathurst Lane,057696,0042,L,OPP CARAVAN SITE ENTRANCE,10,BE
355590.330045317,407533.530026203,34855,1183,44101265,Flockton Avenue,057697,0002,L,O/S 11,6,BE
356508.399988923,410166.229951249,34856,214,44100230,Baxter Street,057698,0006A,L,OPP 57 JCN CARRADON DVE,6,BE
360784.949992049,400780.210005436,34857,3308,44120196,Warrington Road,057699,0053,L,OPP 522,10,BE
360749.329990356,396995.320025664,34858,4150,44120572,East Lancashire Road,057700,0508,L,REFER OSP,12,BE
360253.629966812,397093.060030306,34859,4150,44120572,East Lancashire Road,057701,0540,L,REFER OSP,12,BE
356122.549970596,402354.399980206,34860,4903,44120694,Crowther Drive,057702,0008,L,O/S 43/45,6,BE
365346.000008686,401731.459950618,34861,1836,44101945,Larch Road,057703,0004,L,OPP 6,6,BE
366218.789950142,401840.699955808,34862,1866,44120617,Leigh Road,057704,0053A,L,O/S 292,6,BE
368228.580045601,402725.239997821,34863,3211,44103374,Tyldesley Old Road,057705,0015,L,JCN ARLEY WAY,6,BE
368996.429982073,401963.769961653,34864,3228,44103394,Upper George Street,057706,0001,L,O/S 1,6,BE
369965.120028083,401560.780042512,34865,3023,44103177,Stour Road,057707,0026,L,OPP 99,6,BE
